ИНН,Выручка2023,Выручка2022,Себестоимость продаж2023,Себестоимость продаж2022,Валовая прибыль (убыток)2023,Валовая прибыль (убыток)2022,Коммерческие расходы2023,Коммерческие расходы2022,Управленческие расходы2023,Управленческие расходы2022,Прибыль (убыток) от продаж2023,Прибыль (убыток) от продаж2022,Доходы от участия в других организациях2023,Доходы от участия в других организациях2022,Проценты к получению2023,Проценты к получению2022,Проценты к уплате2023,Проценты к уплате2022,Прочие доходы2023,Прочие доходы2022,Прочие расходы2023,Прочие расходы2022,Прибыль (убыток) до налогообложения2023,Прибыль (убыток) до налогообложения2022,Налог на прибыль2023,Налог на прибыль2022,в т.ч. текущий налог на прибыль2023,в т.ч. текущий налог на прибыль2022,Отложенный налог на прибыль2023,Отложенный налог на прибыль2022,в т.ч. постоянные налоговые обязательства2023,в т.ч. постоянные налоговые обязательства2022,Изменение отложенных налоговых обязательств2023,Изменение отложенных налоговых обязательств2022,Изменение отложенных налоговых активов2023,Изменение отложенных налоговых активов2022,Прочее2023,Прочее2022,Чистая прибыль (убыток)2023,Чистая прибыль (убыток)2022,"Результат от переоценки внеоборотных активов, не включаемый в чистую прибыль (убыток) периода2023","Результат от переоценки внеоборотных активов, не включаемый в чистую прибыль (убыток) периода2022","Результат от прочих операций, не включаемый в чистую прибыль (убыток) периода2023","Результат от прочих операций, не включаемый в чистую прибыль (убыток) периода2022","Налог на прибыль от операций, результат которых не включается в чистую прибыль (убыток) периода2023","Налог на прибыль от операций, результат которых не включается в чистую прибыль (убыток) периода2022",Совокупный финансовый результат периода2023,Совокупный финансовый результат периода2022,Справочно Базовая прибыль (убыток) на акцию2023,Справочно Базовая прибыль (убыток) на акцию2022,Разводненная прибыль (убыток) на акцию2023,Разводненная прибыль (убыток) на акцию2022,Баланс2023,Баланс2022,Расходы по обычной деятельности2023,Расходы по обычной деятельности2022,Налоги на прибыль (доходы)2023,Налоги на прибыль (доходы)2022,Balance_test,FinRes_test,Revenue_test,судебные дела,в качестве истца,в качестве ответчика,текущие производства,завершенные производства,совладельцы,число тендеров
4025428684,328002,184658,-240280,-91697,87722,92961,,,-49616,-30868,38106,62093,,,22654,8306,-67188,-53198,70516,18011,-61489,-25385,2599,9827,648,1601,-3219,-276,3867,1876,,,,,,,5509,384,8756,11812,,,,,,,8756,11812,,,,,776767,562221,,,,,1.0,1.0,1.0,7.0,1.0,3.0,0.0,59.0,2.0,0.0
1435126890,328002,184658,-240280,-91697,87722,92961,,,-49616,-30868,38106,62093,,,22654,8306,-67188,-53198,70516,18011,-61489,-25385,2599,9827,648,1601,-3219,-276,3867,1876,,,,,,,5509,384,8756,11812,,,,,,,8756,11812,,,,,776767,562221,,,,,1.0,1.0,1.0,135.0,53.0,33.0,0.0,31.0,4.0,12.0
7724510200,328002,184658,-240280,-91697,87722,92961,,,-49616,-30868,38106,62093,,,22654,8306,-67188,-53198,70516,18011,-61489,-25385,2599,9827,648,1601,-3219,-276,3867,1876,,,,,,,5509,384,8756,11812,,,,,,,8756,11812,,,,,776767,562221,,,,,1.0,1.0,1.0,14.0,2.0,6.0,0.0,41.0,3.0,0.0
3123357373,5038748,2900513,-4505509,-2495230,533239,405283,-272934,-183553,-837,-688,259468,221042,,,2694,4080,-62345,-32251,552809,248537,-580799,-199987,171827,241421,-35153,-47248,-31294,-30287,-4255,-17068,,,,,,,-396,-107,136278,194066,,,,,,,136278,194066,,,,,2421191,1696292,,,,,1.0,1.0,1.0,7.0,4.0,1.0,0.0,44.0,1.0,1.0
7703471817,5038748,2900513,-4505509,-2495230,533239,405283,-272934,-183553,-837,-688,259468,221042,,,2694,4080,-62345,-32251,552809,248537,-580799,-199987,171827,241421,-35153,-47248,-31294,-30287,-4255,-17068,,,,,,,-396,-107,136278,194066,,,,,,,136278,194066,,,,,2421191,1696292,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4101011782,5038748,2900513,-4505509,-2495230,533239,405283,-272934,-183553,-837,-688,259468,221042,,,2694,4080,-62345,-32251,552809,248537,-580799,-199987,171827,241421,-35153,-47248,-31294,-30287,-4255,-17068,,,,,,,-396,-107,136278,194066,,,,,,,136278,194066,,,,,2421191,1696292,,,,,1.0,1.0,1.0,1008.0,279.0,247.0,1.0,138.0,0.0,43.0
6317021441,5038748,2900513,-4505509,-2495230,533239,405283,-272934,-183553,-837,-688,259468,221042,,,2694,4080,-62345,-32251,552809,248537,-580799,-199987,171827,241421,-35153,-47248,-31294,-30287,-4255,-17068,,,,,,,-396,-107,136278,194066,,,,,,,136278,194066,,,,,2421191,1696292,,,,,1.0,1.0,1.0,34.0,11.0,11.0,0.0,14.0,3.0,181.0
7708213619,5038748,2900513,-4505509,-2495230,533239,405283,-272934,-183553,-837,-688,259468,221042,,,2694,4080,-62345,-32251,552809,248537,-580799,-199987,171827,241421,-35153,-47248,-31294,-30287,-4255,-17068,,,,,,,-396,-107,136278,194066,,,,,,,136278,194066,,,,,2421191,1696292,,,,,1.0,1.0,1.0,45.0,7.0,3.0,0.0,0.0,0.0,2.0
7706460690,430445,16059329,-257394,-15038342,173051,1020987,,,-752617,-965298,-579566,55689,47991,,2060819,1576451,-1981536,-1604480,18489276,1953376,-17931731,-1417733,105253,563303,-6340,-143821,0,-34573,-6340,-109248,,,,,,,,,98913,419482,,,,,,,98913,419482,,,,,25227342,22289245,,,,,1.0,1.0,0.0,8.0,1.0,1.0,0.0,28.0,10.0,0.0
7750004175,430445,16059329,-257394,-15038342,173051,1020987,,,-752617,-965298,-579566,55689,47991,,2060819,1576451,-1981536,-1604480,18489276,1953376,-17931731,-1417733,105253,563303,-6340,-143821,0,-34573,-6340,-109248,,,,,,,,,98913,419482,,,,,,,98913,419482,,,,,25227342,22289245,,,,,1.0,1.0,0.0,31.0,8.0,5.0,0.0,6.0,0.0,1.0
7714312079,430445,16059329,-257394,-15038342,173051,1020987,,,-752617,-965298,-579566,55689,47991,,2060819,1576451,-1981536,-1604480,18489276,1953376,-17931731,-1417733,105253,563303,-6340,-143821,0,-34573,-6340,-109248,,,,,,,,,98913,419482,,,,,,,98913,419482,,,,,25227342,22289245,,,,,1.0,1.0,0.0,1818.0,105.0,1275.0,1.0,2219.0,1.0,260.0
7704300652,430445,16059329,-257394,-15038342,173051,1020987,,,-752617,-965298,-579566,55689,47991,,2060819,1576451,-1981536,-1604480,18489276,1953376,-17931731,-1417733,105253,563303,-6340,-143821,0,-34573,-6340,-109248,,,,,,,,,98913,419482,,,,,,,98913,419482,,,,,25227342,22289245,,,,,1.0,1.0,0.0,17.0,7.0,2.0,0.0,70.0,0.0,0.0
5404345962,11523385,9721246,-10488221,-8955722,1035164,765524,-393160,-337532,,,642004,427992,,,66298,32742,-323240,-290300,4141,29906,-160824,-63800,228379,136540,-48262,-29691,-45389,-29352,-2873,-339,,,,,,,,,180117,106849,,,,,,,180117,106849,,,,,4648894,3420185,,,,,1.0,1.0,1.0,156.0,87.0,50.0,1.0,15.0,1.0,37.0
6227001779,11523385,9721246,-10488221,-8955722,1035164,765524,-393160,-337532,,,642004,427992,,,66298,32742,-323240,-290300,4141,29906,-160824,-63800,228379,136540,-48262,-29691,-45389,-29352,-2873,-339,,,,,,,,,180117,106849,,,,,,,180117,106849,,,,,4648894,3420185,,,,,1.0,1.0,1.0,395.0,51.0,45.0,0.0,12.0,1.0,26.0
2225019491,653,47,-52,-7,13,40,,,,,13,40,,,,,,,,,,,13,40,,,,,,,,,,,,,,,13,40,,,,,,,13,40,,,,,0,0,,,,,0.0,1.0,1.0,160.0,30.0,28.0,0.0,29.0,9.0,23.0
7714819895,653,47,-52,-7,13,40,,,,,13,40,,,,,,,,,,,13,40,,,,,,,,,,,,,,,13,40,,,,,,,13,40,,,,,0,0,,,,,0.0,1.0,1.0,961.0,46.0,79.0,3.0,33.0,1.0,4.0
4004021785,31723,70808,-14723,-65994,17000,4814,-270,,,,16730,4814,,,41166,1877,-48705,-3160,21890,957,-18317,-1479,12764,3009,-2709,-698,-2023,-110,-689,-588,,,,,,,2125,-3140,12180,-829,,,,,,,12180,-829,,,,,649216,78744,,,,,1.0,1.0,0.0,67.0,11.0,30.0,2.0,57.0,23.0,3.0
2708001686,7243947,5946534,-5020849,-5004280,2223098,942254,-3946,-4004,-582334,-537261,1636818,400989,,,145143,83198,-1288371,-668204,306702,2239901,-861328,-3115288,-61036,-1059404,6283,87827,,,6283,87827,,,,,,,,,-54753,-971577,,,,,,,-54753,-971577,,,,,19869599,15004803,,,,,1.0,1.0,1.0,59.0,20.0,32.0,5.0,27.0,2.0,0.0
8601027509,7243947,5946534,-5020849,-5004280,2223098,942254,-3946,-4004,-582334,-537261,1636818,400989,,,145143,83198,-1288371,-668204,306702,2239901,-861328,-3115288,-61036,-1059404,6283,87827,,,6283,87827,,,,,,,,,-54753,-971577,,,,,,,-54753,-971577,,,,,19869599,15004803,,,,,1.0,1.0,1.0,67.0,47.0,8.0,0.0,15.0,1.0,3.0
7709445387,7243947,5946534,-5020849,-5004280,2223098,942254,-3946,-4004,-582334,-537261,1636818,400989,,,145143,83198,-1288371,-668204,306702,2239901,-861328,-3115288,-61036,-1059404,6283,87827,,,6283,87827,,,,,,,,,-54753,-971577,,,,,,,-54753,-971577,,,,,19869599,15004803,,,,,1.0,1.0,1.0,16.0,12.0,2.0,0.0,23.0,0.0,2.0
7731038186,7243947,5946534,-5020849,-5004280,2223098,942254,-3946,-4004,-582334,-537261,1636818,400989,,,145143,83198,-1288371,-668204,306702,2239901,-861328,-3115288,-61036,-1059404,6283,87827,,,6283,87827,,,,,,,,,-54753,-971577,,,,,,,-54753,-971577,,,,,19869599,15004803,,,,,1.0,1.0,1.0,114.0,32.0,37.0,0.0,10.0,8.0,9.0
1835047032,7243947,5946534,-5020849,-5004280,2223098,942254,-3946,-4004,-582334,-537261,1636818,400989,,,145143,83198,-1288371,-668204,306702,2239901,-861328,-3115288,-61036,-1059404,6283,87827,,,6283,87827,,,,,,,,,-54753,-971577,,,,,,,-54753,-971577,,,,,19869599,15004803,,,,,1.0,1.0,1.0,306.0,89.0,34.0,0.0,25.0,0.0,47.0
7838066700,7243947,5946534,-5020849,-5004280,2223098,942254,-3946,-4004,-582334,-537261,1636818,400989,,,145143,83198,-1288371,-668204,306702,2239901,-861328,-3115288,-61036,-1059404,6283,87827,,,6283,87827,,,,,,,,,-54753,-971577,,,,,,,-54753,-971577,,,,,19869599,15004803,,,,,1.0,1.0,1.0,154.0,69.0,44.0,0.0,53.0,1.0,60.0
7706415377,7243947,5946534,-5020849,-5004280,2223098,942254,-3946,-4004,-582334,-537261,1636818,400989,,,145143,83198,-1288371,-668204,306702,2239901,-861328,-3115288,-61036,-1059404,6283,87827,,,6283,87827,,,,,,,,,-54753,-971577,,,,,,,-54753,-971577,,,,,19869599,15004803,,,,,1.0,1.0,1.0,13.0,6.0,8.0,1.0,389.0,1.0,4.0
7727528950,7243947,5946534,-5020849,-5004280,2223098,942254,-3946,-4004,-582334,-537261,1636818,400989,,,145143,83198,-1288371,-668204,306702,2239901,-861328,-3115288,-61036,-1059404,6283,87827,,,6283,87827,,,,,,,,,-54753,-971577,,,,,,,-54753,-971577,,,,,19869599,15004803,,,,,1.0,1.0,1.0,97.0,44.0,28.0,0.0,11.0,13.0,5.0
7713076301,297323917,279983160,-167128309,-172869580,130195608,107113580,-17006220,-17579548,-65166778,-51704782,48022610,37829250,54447191,155,6287333,823298,-36354428,-28828578,29290326,2488180,-56578626,-10774693,45114406,1537612,793998,-594772,-4748371,-3090198,5542369,2495426,,,,,,,560185,681756,46468589,1624596,,,,,,,46468589,1624596,,,,,584125394,406497115,,,,,1.0,1.0,1.0,12390.0,6317.0,4356.0,45.0,16096.0,15.0,1810.0
7728142469,297323917,279983160,-167128309,-172869580,130195608,107113580,-17006220,-17579548,-65166778,-51704782,48022610,37829250,54447191,155,6287333,823298,-36354428,-28828578,29290326,2488180,-56578626,-10774693,45114406,1537612,793998,-594772,-4748371,-3090198,5542369,2495426,,,,,,,560185,681756,46468589,1624596,,,,,,,46468589,1624596,,,,,584125394,406497115,,,,,1.0,1.0,1.0,203.0,94.0,63.0,1.0,15.0,6.0,90.0
7709031643,297323917,279983160,-167128309,-172869580,130195608,107113580,-17006220,-17579548,-65166778,-51704782,48022610,37829250,54447191,155,6287333,823298,-36354428,-28828578,29290326,2488180,-56578626,-10774693,45114406,1537612,793998,-594772,-4748371,-3090198,5542369,2495426,,,,,,,560185,681756,46468589,1624596,,,,,,,46468589,1624596,,,,,584125394,406497115,,,,,1.0,1.0,1.0,48756.0,14946.0,32318.0,114.0,52244.0,3.0,362.0
